specimen_id,species_id,scenario,view,notes,brightness,cap_color,cap_shape,cap_surface,clustered_growth,coarse_case,colour_ratios.brown,colour_ratios.dark,colour_ratios.orange_red,colour_ratios.orange_yellow,colour_ratios.red,colour_ratios.white,coral_branching,detected_parts,dominant_color,has_ridges,hymenophore_type,mask_used,morphology_case,puffball_surface,secondary_color,stem_color,stem_ring,stem_surface,surface_texture,trait_confidence.cap_aspect_ratio,trait_confidence.cap_brightness,trait_confidence.cap_circularity,trait_confidence.cap_color,trait_confidence.cap_colour_ratios,trait_confidence.cap_secondary_color,trait_confidence.cap_shape,trait_confidence.cap_surface,trait_confidence.coral_branch_density,trait_confidence.coral_branching,trait_confidence.coral_brightness,trait_confidence.coral_color,trait_confidence.coral_endpoints,trait_confidence.coral_junctions,trait_confidence.hymenophore_confidence,trait_confidence.hymenophore_type,trait_confidence.puffball_aspect_ratio,trait_confidence.puffball_brightness,trait_confidence.puffball_roundness,trait_confidence.puffball_surface,trait_confidence.stem_aspect_ratio,trait_confidence.stem_brightness,trait_confidence.stem_color,trait_confidence.stem_ring,trait_confidence.stem_surface,trait_confidence.stem_thickness,trait_confidence.underside_color,trait_confidence.whole_color,trait_source_by_key.cap_aspect_ratio,trait_source_by_key.cap_brightness,trait_source_by_key.cap_circularity,trait_source_by_key.cap_color,trait_source_by_key.cap_colour_ratios,trait_source_by_key.cap_secondary_color,trait_source_by_key.cap_shape,trait_source_by_key.cap_surface,trait_source_by_key.coral_branch_density,trait_source_by_key.coral_branching,trait_source_by_key.coral_brightness,trait_source_by_key.coral_color,trait_source_by_key.coral_endpoints,trait_source_by_key.coral_junctions,trait_source_by_key.hymenophore_confidence,trait_source_by_key.hymenophore_type,trait_source_by_key.puffball_aspect_ratio,trait_source_by_key.puffball_brightness,trait_source_by_key.puffball_roundness,trait_source_by_key.puffball_surface,trait_source_by_key.stem_aspect_ratio,trait_source_by_key.stem_brightness,trait_source_by_key.stem_color,trait_source_by_key.stem_ring,trait_source_by_key.stem_surface,trait_source_by_key.stem_thickness,trait_source_by_key.underside_color,trait_source_by_key.whole_color,underside_color,whole_color
LY.PE_037,LY.PE,puffball,below,paired above_idx=2 below_idx=1; puffball;round;spines; source=Svampeatlas/GBIF; occurrence=5898626078; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,orange,funnel-shaped,smooth,True,coral,0.547,0.046,0.0,0.098,0.003,0.007,cauliflower_like,"['cap', 'coral', 'stem']",orange,False,unknown,True,coral,smooth,grey,olive-brown,present,fibrous,smooth,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.132,0.151,0.151,0.151,0.151,0.151,0.151,,,0.338,0.338,0.338,0.338,0.326,0.326,0.326,0.326,0.326,0.326,,0.338,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,,yolo_whole_mask,unknown,olive-brown
PL.OS_045,PL.OS,ood,above,paired above_idx=1 below_idx=2; oyster;shelf;gills;wood; source=Svampeatlas/GBIF; occurrence=5052245440; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,white,unknown,unknown,False,classical,0.0,0.0,0.0,0.0,0.0,0.0,unknown,['stem'],white,False,unknown,True,uncertain,smooth,white,white,present,smooth,smooth,,,,,,,,,,,,,,,,,0.562,0.562,0.562,0.562,0.489,0.489,0.489,0.489,0.489,0.489,,0.562,,,,,,,,,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,,yolo_whole_mask,unknown,white
PL.OS_045,PL.OS,ood,below,paired above_idx=1 below_idx=2; oyster;shelf;gills;wood; source=Svampeatlas/GBIF; occurrence=5052245440; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,white,unknown,unknown,False,classical,0.0,0.0,0.0,0.0,0.0,0.0,unknown,['stem'],white,False,unknown,True,uncertain,smooth,white,white,present,smooth,smooth,,,,,,,,,,,,,,,,,0.562,0.562,0.562,0.562,0.412,0.412,0.412,0.412,0.412,0.412,,0.562,,,,,,,,,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,,yolo_whole_mask,unknown,white
RA.BO_025,RA.BO,coral,above,paired above_idx=1 below_idx=2; coral;branched;edible; source=Svampeatlas/GBIF; occurrence=4465862206; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,,wavy,,,uncertain,0.029,0.103,0.0,0.061,0.003,0.069,,[],yellow-green,True,,False,uncertain,,white,,,,fibrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA.BO_025,RA.BO,coral,below,paired above_idx=1 below_idx=2; coral;branched;edible; source=Svampeatlas/GBIF; occurrence=4465862206; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,,wavy,,,uncertain,0.101,0.143,0.0,0.117,0.001,0.113,,[],olive-brown,True,,False,uncertain,,grey,,,,fibrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA.PA_028,RA.PA,coral,above,paired above_idx=1 below_idx=3; coral;branched;toxic;confusing_pair; source=Svampeatlas/GBIF; occurrence=3343249350; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,,wavy,,,uncertain,0.343,0.255,0.02,0.297,0.001,0.0,,[],yellow,True,,False,uncertain,,orange,,,,fibrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA.PA_028,RA.PA,coral,below,paired above_idx=1 below_idx=3; coral;branched;toxic;confusing_pair; source=Svampeatlas/GBIF; occurrence=3343249350; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,,wavy,,,uncertain,0.177,0.34,0.009,0.17,0.001,0.001,,[],olive-brown,True,,False,uncertain,,olive-brown,,,,fibrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU.BA_056,RU.BA,ood,above,paired above_idx=2 below_idx=1; above=cap/top view; below=underside/gills view; source=Svampeatlas/GBIF; occurrence=4940915542,bright,red,unknown,fibrous,False,classical,0.183,0.011,0.204,0.26,0.694,0.025,unknown,"['cap', 'stem', 'underside']",red,False,unknown,True,classical_unknown,smooth,red,orange,absent,smooth,fibrous,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,,,,,,,0.0,0.0,0.169,0.169,0.169,0.169,0.093,0.093,0.093,0.093,0.093,0.093,0.0,0.169,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,yolo_underside_mask,yolo_underside_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_stem_mask,yolo_underside_mask,yolo_whole_mask,yellow-green,orange
RU.BA_056,RU.BA,ood,below,paired above_idx=2 below_idx=1; above=cap/top view; below=underside/gills view; source=Svampeatlas/GBIF; occurrence=4940915542,medium,red,unknown,smooth,False,classical,0.41,0.133,0.008,0.005,0.001,0.0,unknown,['cap'],red,False,unknown,True,uncertain,smooth,red,unknown,unknown,unknown,smooth,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,,,,,,,,,0.412,0.412,0.412,0.412,,,,,,,,0.412,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,red
RU.IN_054,RU.IN,ood,above,paired above_idx=1 below_idx=2; above=cap/top view; below=underside/gills view; source=Svampeatlas/GBIF; occurrence=5052267553,bright,orange,unknown,smooth,False,classical,0.267,0.003,0.097,0.705,0.654,0.1,unknown,"['cap', 'underside']",orange,True,ridges,True,classical_unknown,smooth,orange,unknown,unknown,unknown,smooth,0.574,0.574,0.574,0.574,0.574,0.574,0.574,0.574,,,,,,,0.269,0.269,0.375,0.375,0.375,0.375,,,,,,,0.269,0.375,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,yolo_cap_mask,,,,,,,yolo_underside_mask,yolo_underside_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,yolo_underside_mask,yolo_whole_mask,yellow-green,orange
RU.IN_054,RU.IN,ood,below,paired above_idx=1 below_idx=2; above=cap/top view; below=underside/gills view; source=Svampeatlas/GBIF; occurrence=5052267553,dark,,wavy,,,uncertain,0.021,0.575,0.0,0.015,0.0,0.068,,[],black,True,,False,uncertain,,black,,,,smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP.CR_039,SP.CR,confusing,above,paired above_idx=1 below_idx=2; cauliflower;branched;edible; source=Svampeatlas/GBIF; occurrence=5898627808; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,bright,tan,unknown,unknown,False,coral,0.0,0.0,0.0,0.0,0.0,0.0,unknown,['coral'],tan,False,unknown,True,coral,smooth,tan,unknown,unknown,unknown,smooth,,,,,,,,,0.357,0.357,0.357,0.357,0.357,0.357,,,0.75,0.75,0.75,0.75,,,,,,,,0.75,,,,,,,,,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,yolo_coral_mask,,,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,yolo_whole_mask,,,,,,,,yolo_whole_mask,unknown,tan
SP.CR_039,SP.CR,confusing,below,paired above_idx=1 below_idx=2; cauliflower;branched;edible; source=Svampeatlas/GBIF; occurrence=5898627808; above=cap/top/whole view; below=underside/gills/pores/folds/stem/base view,medium,,wavy,,,uncertain,0.097,0.129,0.001,0.099,0.002,0.12,,[],tan,True,,False,uncertain,,white,,,,smooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
